"TABLA_PUENTE_LINEA_ID","TABLA_PUENTE_ID","ORIGEN_SERVICIO","DESTINO_SERVICIO","SERVICIO","CONCEPTO_MODALIDAD","FORMA_PAGO","CANTIDAD","NO_LINEA","LINEA_ARTICULO","UNIDAD_MEDIDA","REFERENCIA_APLICACION","SUBTOTAL","CODIGO_IVA","TASA_IVA","MONTO_IVA","CODIGO_RETENCION_IVA","TASA_RET_IVA","MONTO_RET_IVA","CODIGO_RETENCION_ISR","TASA_RET_ISR","MONTO_RET_ISR","TOTAL","CREATION_DATE","CREATED_BY","LAST_UPDATE_DATE","LAST_UPDATED_BY","LAST_UPDATE_LOGIN"
2418958,957783,"","","VENTAS MISCELANEAS","CARGO POR CAMBIO DE HORARIO","BBV",1,1,"BOLETOS DE AUTOBUS","","08082118ERP4MSERT",201.72,"TAS-IVAAR16%",16,32.28,"",0,0,"",0,0,234,09/08/21,1,09/08/21,1,
2418959,957783,"","","VENTAS MISCELANEAS","DIFERENCIA POR HO","BBV",1,2,"BOLETOS DE AUTOBUS","","08082118ERP4MSERT",12.07,"TAS-IVAAR16%",16,1.93,"",0,0,"",0,0,14,09/08/21,1,09/08/21,1,
2418960,957784,"","","VENTAS MISCELANEAS","MOVISTAR","EFE",1,1,"BOLETOS DE AUTOBUS","","08082121ERP1MSERT",8.62,"TAS-IVAAR16%",16,1.38,"",0,0,"",0,0,10,09/08/21,1,09/08/21,1,
2418961,957784,"","","VENTAS MISCELANEAS","TELCEL","EFE",1,2,"BOLETOS DE AUTOBUS","","08082121ERP1MSERT",25.86,"TAS-IVAAR16%",16,4.14,"",0,0,"",0,0,30,09/08/21,1,09/08/21,1,
2418962,957785,"","","VENTAS MISCELANEAS","KIT CRUZ ROJA TTP1","EFE",1,1,"BOLETOS DE AUTOBUS","","080821294TPP1MSTTP1T",12.93,"TAS-IVAAR16%",16,2.07,"",0,0,"",0,0,15,09/08/21,1,09/08/21,1,
2418963,957786,"","","VENTAS MISCELANEAS","TELCEL","EFE",1,1,"BOLETOS DE AUTOBUS","","080821156ERP1MSERT",86.21,"TAS-IVAAR16%",16,13.79,"",0,0,"",0,0,100,09/08/21,1,09/08/21,1,
2418964,957786,"","","VENTAS MISCELANEAS","AUDIFONOS PRIMERA CLASE","EFE",1,2,"BOLETOS DE AUTOBUS","","080821156ERP1MSERT",146.55,"TAS-IVAAR16%",16,23.45,"",0,0,"",0,0,170,09/08/21,1,09/08/21,1,
2418965,957787,"","","VENTAS MISCELANEAS","IUSACELL","EFE",1,1,"BOLETOS DE AUTOBUS","","080821292ERP1MSERT",43.1,"TAS-IVAAR16%",16,6.9,"",0,0,"",0,0,50,09/08/21,1,09/08/21,1,
2418966,957788,"","","VENTAS MISCELANEAS","TELCEL","EFE",1,1,"BOLETOS DE AUTOBUS","","08082123ERP1MSERT",43.1,"TAS-IVAAR16%",16,6.9,"",0,0,"",0,0,50,09/08/21,1,09/08/21,1,
2418967,957788,"","","VENTAS MISCELANEAS","UNEFON","EFE",1,2,"BOLETOS DE AUTOBUS","","08082123ERP1MSERT",25.86,"TAS-IVAAR16%",16,4.14,"",0,0,"",0,0,30,09/08/21,1,09/08/21,1,
2418968,957789,"","","VENTAS MISCELANEAS","CARGO POR CAMBIO DE HORARIO","BBV",1,1,"BOLETOS DE AUTOBUS","","08082191ERT4MSTTP1T",169,"TAS-IVAEXE",0,0,"",0,0,"",0,0,169,09/08/21,1,09/08/21,1,
2418912,957754,"","","INTERMEDIO","","EFE",1,1,"BOLETOS DE AUTOBUS","","080821113TPP01ITPT",6919.05,"TAS-IVAAR16%",16,1106.95,"",0,0,"",0,0,8026,09/08/21,1,09/08/21,1,
2418913,957755,"","","PULLMAN PRIMERA CLASE","","BBV",1,1,"BOLETOS DE AUTOBUS","","080821277ERP04PERT",3368.98,"TAS-IVAAR16%",16,539.02,"",0,0,"",0,0,3908,09/08/21,1,09/08/21,1,
2418914,957756,"","","PULLMAN PRIMERA CLASE","","BBV",1,1,"BOLETOS DE AUTOBUS","","080821115ERP04PERT",16838.68,"TAS-IVAAR16%",16,2694.32,"",0,0,"",0,0,19533,09/08/21,1,09/08/21,1,
2418915,957757,"","","PULLMAN PRIMERA CLASE ER","","BBV",1,1,"BOLETOS DE AUTOBUS","","080821113ERP04PERT",201.72,"TAS-IVAAR16%",16,32.28,"",0,0,"",0,0,234,09/08/21,1,09/08/21,1,
2418916,957758,"","","PULLMAN PRIMERA CLASE","","EFE",1,1,"BOLETOS DE AUTOBUS","","080821277ERP01PERT",3356.89,"TAS-IVAAR16%",16,537.11,"",0,0,"",0,0,3894,09/08/21,1,09/08/21,1,
2418917,957759,"","","PULLMAN PRIMERA CLASE","","EFE",1,1,"BOLETOS DE AUTOBUS","","08082120ERP01PERT",12237.37,"TAS-IVAAR16%",16,1957.63,"",0,0,"",0,0,14195,09/08/21,1,09/08/21,1,
2418918,957760,"","","PULLMAN PRIMERA CLASE","","EFE",1,1,"BOLETOS DE AUTOBUS","","08082115ERP01PERT",128573.99,"TAS-IVAAR16%",16,20574.01,"",0,0,"",0,0,149148,09/08/21,1,09/08/21,1,
2418919,957761,"","","PULLMAN PRIMERA CLASE","PUNTO A BORDO","SOC",1,1,"BOLETOS DE AUTOBUS","","08082118ERP16PERT",565.5,"TAS-IVAAR16%",16,90.5,"",0,0,"",0,0,656,09/08/21,1,09/08/21,1,
2418920,957762,"","","PULLMAN PRIMERA CLASE","PUNTO A BORDO","SOC",1,1,"BOLETOS DE AUTOBUS","","080821277ERP16PERT",365.52,"TAS-IVAAR16%",16,58.48,"",0,0,"",0,0,424,09/08/21,1,09/08/21,1,
